ClusterID,Coordinate_1,Coordinate_2,Coordinate_3,Coordinate_4,Coordinate_5,Coordinate_6,Coordinate_7,Coordinate_8,Coordinate_9,Coordinate_10
CLuster-1,61.7369,12.0237,134.4694,28.6538,-64.3587,82.9681,-77.7471,-34.0907,-112.9647,-52.7971
CLuster-1,64.4230,13.3045,128.1558,26.8215,-63.1079,79.7839,-76.9853,-35.6687,-108.5399,-52.6768
CLuster-1,61.6436,11.9585,132.8720,30.1342,-66.2235,78.3449,-84.4408,-35.4278,-107.5961,-54.5707
CLuster-1,62.4312,11.2104,131.9252,24.9367,-62.6979,81.2664,-72.0832,-30.5325,-110.0676,-54.3693
CLuster-1,58.1024,12.1104,129.9422,24.7686,-67.1072,83.6934,-75.7225,-33.7176,-116.9167,-54.9581
CLuster-1,61.8980,16.0018,126.8475,27.7877,-64.4943,82.8172,-77.5175,-34.2755,-111.9777,-53.7580
CLuster-1,60.9743,14.7299,129.8311,28.7408,-60.5842,81.2099,-76.0969,-34.6602,-108.2390,-48.6350
CLuster-1,63.7096,16.8731,132.0176,28.9320,-62.1843,89.0634,-78.5248,-38.1185,-110.2965,-54.9775
CLuster-1,64.0211,12.0985,128.9379,28.2009,-62.6698,81.2477,-77.1383,-33.9167,-106.6421,-54.1413
CLuster-1,67.4981,13.2121,132.8019,25.2231,-62.5339,80.1709,-79.6461,-40.9427,-110.6636,-55.3642
CLuster-1,60.2950,19.1412,124.6132,29.3649,-62.5826,88.3685,-73.1988,-30.4906,-110.0027,-51.8038
CLuster-1,59.5854,15.8730,129.5084,28.0440,-69.4849,82.2157,-82.1853,-31.3028,-112.6075,-55.7641
CLuster-1,57.8499,17.9789,129.3219,33.9948,-64.4460,91.2670,-82.4213,-34.9235,-109.5835,-52.0622
CLuster-1,59.0546,10.1320,131.0382,26.3925,-60.2643,79.2179,-68.9232,-31.5404,-113.9001,-46.0172
CLuster-1,64.0780,15.5016,131.7514,25.1597,-63.6877,81.8862,-76.9812,-38.9445,-112.6912,-53.2922
CLuster-1,59.7738,10.3096,136.7896,27.6655,-59.3104,80.0201,-74.8851,-35.1773,-106.5280,-49.4686
CLuster-1,61.5927,13.3411,131.8534,23.4664,-68.5985,80.6735,-81.1400,-37.4507,-115.1657,-58.6392
CLuster-1,62.7724,11.9288,132.9970,26.2860,-63.9680,76.9002,-75.9374,-31.4709,-110.9572,-53.9175
CLuster-1,59.7671,12.9269,133.0117,27.9388,-62.3547,86.2338,-76.2201,-36.8463,-113.7742,-53.2543
CLuster-1,60.8295,5.7901,135.2297,26.7115,-63.7347,70.8096,-74.6805,-31.0614,-108.4632,-47.3149
CLuster-1,60.6890,10.3832,137.0889,28.3951,-62.1711,80.6014,-75.3295,-31.4607,-110.2769,-52.3953
CLuster-1,56.7023,13.6210,135.5529,28.9976,-62.9927,85.1944,-77.0960,-35.5387,-112.8749,-50.8732
CLuster-1,61.6542,10.8478,129.6910,31.9150,-59.9468,86.3099,-80.8907,-39.5386,-107.3926,-51.3353
CLuster-1,60.9303,15.3809,128.8989,26.9798,-69.7930,80.6059,-81.5622,-31.2414,-112.7162,-56.6377
CLuster-1,62.3078,13.9262,134.2272,32.2363,-60.8860,86.7752,-78.9918,-36.0663,-107.3446,-52.3177
CLuster-1,58.5485,11.2784,140.2293,30.9946,-66.2227,78.5073,-78.9847,-29.5928,-110.4477,-48.3668
CLuster-1,56.9047,7.9222,134.3968,25.8586,-63.9650,77.1270,-71.9222,-28.5426,-115.4448,-50.4057
CLuster-1,61.4403,9.3574,130.3506,28.8276,-64.6095,81.6853,-79.8989,-36.7963,-112.8721,-54.5811
CLuster-1,62.6542,6.7836,133.3105,28.5739,-62.0979,76.9307,-80.8521,-37.8846,-107.9189,-51.1572
CLuster-1,57.4672,7.1548,133.9198,24.3875,-65.6153,80.4285,-75.6535,-31.8396,-115.6510,-56.7502
CLuster-1,70.3301,9.5288,140.7909,24.3519,-59.7383,68.3697,-73.7791,-36.8001,-103.7809,-45.7852
CLuster-1,63.8165,12.8154,133.5712,25.5828,-64.1601,75.7579,-76.7281,-36.4482,-108.2574,-49.8291
CLuster-1,61.2940,12.4139,128.9226,27.2544,-61.2017,84.4917,-74.6182,-36.3559,-109.8423,-53.1159
CLuster-1,62.5126,19.2934,126.8930,28.1416,-57.0074,82.4011,-73.7141,-38.3790,-104.9236,-45.7911
CLuster-1,62.7404,7.1294,131.7270,25.2399,-65.0681,73.9010,-76.8341,-32.2762,-110.0338,-52.7259
CLuster-1,62.9837,15.7762,133.8164,28.4415,-63.4975,82.8976,-78.8055,-35.5805,-109.3281,-52.4993
CLuster-1,62.0039,9.8260,130.5219,27.8919,-68.5160,78.5681,-81.2888,-32.1223,-112.2373,-56.6166
CLuster-1,62.3349,17.8090,123.2340,30.5112,-64.7771,81.3631,-80.2986,-33.6119,-107.5990,-51.1802
CLuster-1,57.0123,12.3288,127.8048,28.3894,-64.5106,78.8812,-73.3316,-27.0308,-110.8838,-49.3003
CLuster-1,61.8889,10.9027,126.9138,26.3606,-62.0105,81.6316,-74.9183,-35.5502,-112.2415,-53.7010
CLuster-1,58.3935,8.5800,128.5982,25.7166,-67.2566,77.7070,-75.0347,-27.9295,-115.4345,-54.1930
CLuster-1,63.2542,12.9456,137.4994,28.5856,-61.2362,80.0019,-77.2059,-35.2923,-108.8926,-50.7409
CLuster-1,63.3849,13.1330,130.7630,30.9235,-65.2347,82.9617,-80.2687,-33.2239,-109.4607,-53.9460
CLuster-1,62.5019,12.5881,131.7710,22.3866,-62.3088,78.0589,-71.8797,-33.7636,-109.5335,-52.5875
CLuster-1,55.8264,9.6265,133.7036,29.5203,-59.0529,87.6649,-72.2796,-33.0032,-114.2466,-49.9434
CLuster-1,56.6641,11.2076,132.4346,30.4104,-62.4084,81.8983,-76.6678,-32.7704,-110.6347,-48.5995
CLuster-1,65.0564,14.7393,132.8761,26.6182,-63.8580,80.8300,-78.6985,-36.1111,-108.8958,-54.1348
CLuster-1,62.5744,8.8498,135.2360,28.2746,-61.5009,83.2805,-79.4471,-36.9547,-108.4785,-55.6175
CLuster-1,64.0071,14.8237,130.1189,26.3268,-60.0343,78.7419,-73.1322,-35.3941,-108.1416,-49.1063
CLuster-1,58.6738,4.6717,132.7046,27.7248,-67.5304,74.0725,-78.6918,-28.4726,-112.7319,-53.2517
CLuster-1,68.1765,19.5672,137.6393,28.4105,-65.7453,73.9962,-90.1341,-44.1727,-100.3452,-51.3474
CLuster-1,61.6293,11.4895,133.7253,27.9672,-62.6505,81.2059,-76.6468,-35.7016,-109.4474,-50.8102
CLuster-1,63.1942,11.0261,132.4010,27.5153,-59.4431,83.2342,-75.7633,-35.7021,-110.7005,-52.8442
CLuster-1,65.8653,5.5947,131.5701,23.8816,-65.7539,71.0788,-80.1886,-34.8442,-111.3170,-58.6487
CLuster-1,59.5756,13.1601,132.2532,29.1992,-64.9413,78.8432,-78.1814,-31.6587,-109.0134,-50.4575
CLuster-1,58.8204,12.3393,127.3592,28.3204,-63.6049,86.5782,-80.7503,-37.9125,-114.0130,-58.0573
CLuster-1,54.7684,5.2528,132.3647,27.4299,-63.5278,85.5664,-75.3051,-35.5794,-118.5351,-53.9197
CLuster-1,62.1669,9.6194,127.8718,29.7202,-62.6230,77.5496,-77.7565,-33.0597,-107.8476,-50.6065
CLuster-1,61.6757,11.6491,127.8700,29.5266,-63.7915,83.5158,-77.4686,-31.3197,-109.9700,-54.2002
CLuster-1,58.5205,5.7135,133.4720,27.9077,-64.3325,73.7969,-75.8240,-30.2216,-113.2859,-49.3488
CLuster-1,61.1470,15.1115,130.7345,30.1270,-61.7583,82.2151,-76.1128,-32.1377,-109.3988,-51.4592
CLuster-1,59.0796,10.4732,128.8257,26.4416,-62.8986,81.6063,-70.0083,-28.5583,-111.8352,-49.6421
CLuster-1,68.4037,14.4807,132.8891,25.4447,-60.0753,75.6972,-74.3522,-39.2473,-106.4411,-46.6441
CLuster-1,59.4855,13.3714,132.4584,27.6295,-64.9421,78.7559,-76.3263,-31.3954,-113.1518,-48.6791
CLuster-1,55.4846,14.6029,127.6045,30.3113,-63.9751,87.9818,-76.1567,-32.2266,-114.0216,-51.9502
CLuster-1,56.4415,17.9821,131.6638,29.4200,-65.6308,87.7353,-79.5999,-34.4523,-113.0834,-53.5124
CLuster-1,59.8328,13.4818,129.4166,29.4372,-63.4386,83.2708,-77.3741,-32.8527,-110.8830,-52.8229
CLuster-1,59.7705,8.9160,136.1629,28.3373,-60.9275,81.8587,-79.8674,-37.1015,-109.4959,-55.7856
CLuster-1,60.1603,10.0654,133.3369,23.5416,-64.5884,80.8221,-75.2938,-37.4089,-115.6774,-52.8154
CLuster-1,58.4992,15.6879,131.4467,30.6902,-66.3962,86.8949,-79.7071,-33.4544,-111.9618,-52.4436
CLuster-1,63.7205,16.0076,132.0933,27.6802,-64.5204,78.0152,-82.0345,-37.5379,-107.8445,-53.5485
CLuster-1,57.6090,8.3749,130.1024,26.1963,-67.1046,84.3265,-75.7452,-28.2051,-115.5984,-58.5562
CLuster-1,55.7090,17.4087,127.7948,30.2389,-68.2434,90.1899,-78.6738,-30.1627,-116.2396,-55.5477
CLuster-1,63.1875,8.1492,133.0033,29.2808,-59.2259,80.3564,-79.0665,-40.0806,-107.2765,-50.4054
CLuster-1,62.1041,11.2697,132.0986,25.2939,-61.5959,80.4223,-71.8554,-33.8312,-111.7459,-51.6538
CLuster-1,60.1440,9.4866,132.9204,27.0113,-61.0252,85.3289,-77.0769,-37.4652,-112.8751,-55.6944
CLuster-1,61.2324,8.9457,132.5457,32.4087,-61.9012,81.0517,-78.3742,-32.7825,-108.3925,-49.2034
CLuster-1,59.5833,12.6957,131.4651,26.7919,-59.9289,83.6807,-72.6707,-34.5727,-110.2342,-51.8367
CLuster-1,57.9814,8.1343,130.1253,28.3449,-65.2650,80.8789,-74.9875,-27.5920,-113.4305,-52.9466
CLuster-1,60.3073,7.6878,130.0597,28.3043,-58.2595,83.3689,-69.6702,-30.3432,-109.7268,-50.2915
CLuster-1,64.5452,13.0639,133.1251,29.1800,-60.5384,76.6800,-79.1028,-36.8999,-104.2239,-49.3487
CLuster-1,61.1404,12.1628,133.0002,22.4829,-65.0772,76.1349,-74.1753,-33.1069,-113.8261,-53.4609
CLuster-1,61.0700,16.3512,132.8876,27.7497,-62.6742,87.4677,-78.3835,-40.0801,-109.9160,-52.2872
CLuster-1,58.4260,6.4799,133.6251,25.7979,-62.9636,75.0341,-72.1992,-31.3304,-113.4988,-49.0963
CLuster-1,60.3358,13.6132,127.7001,28.4480,-60.9956,82.0116,-74.8974,-33.7193,-110.5420,-50.3749
CLuster-1,63.3668,15.1828,130.8367,29.9091,-56.5253,82.0572,-72.6016,-36.9790,-104.6024,-45.4940
CLuster-1,56.1692,8.5544,133.9373,30.0128,-60.0989,84.1755,-73.5009,-31.0856,-111.0849,-49.0775
CLuster-1,56.0143,8.0406,133.6453,30.7348,-63.6766,81.6862,-74.4403,-27.9720,-111.7111,-48.9749
CLuster-1,59.1769,9.5972,128.6754,27.8365,-61.4661,78.0093,-69.7521,-26.9940,-110.4104,-48.7967
CLuster-1,59.5999,8.0940,137.1753,33.7866,-58.5513,78.9519,-79.0014,-34.6904,-104.2979,-44.5218
CLuster-1,61.2289,14.6040,132.8289,26.4981,-65.1516,76.6018,-75.7520,-31.2267,-108.6608,-49.1122
CLuster-1,61.7959,12.3727,127.5725,26.3284,-63.6845,85.9752,-77.1190,-35.9985,-111.6008,-56.5551
CLuster-1,61.7024,13.7790,135.8107,28.0257,-60.3278,82.6766,-76.8849,-38.5668,-113.3117,-50.4928
CLuster-1,53.0884,9.9390,129.5620,29.4509,-61.8010,88.2208,-71.4227,-30.2179,-116.7854,-50.4406
CLuster-1,60.9777,16.6309,129.4154,28.6246,-59.6995,82.2150,-73.6793,-33.6470,-105.9479,-49.3552
CLuster-1,61.6871,11.3783,132.7997,26.7809,-68.3855,79.1096,-82.7531,-33.5763,-112.1075,-57.5399
CLuster-1,56.4415,14.8436,130.1657,33.0518,-65.0030,87.9775,-79.3473,-30.9190,-111.4881,-51.0967
CLuster-1,59.1564,10.2770,136.8527,27.1497,-64.0560,82.4711,-76.4573,-34.6050,-112.5417,-52.0631
CLuster-1,54.2638,6.4116,129.1946,31.9664,-64.0291,85.9085,-77.5785,-28.6514,-113.2906,-52.9294
CLuster-1,60.1733,13.3671,134.5289,28.0148,-64.2766,79.0261,-78.2894,-34.4634,-107.4648,-50.4590
CLuster-1,58.8028,15.1654,136.4981,29.0811,-61.6734,85.2081,-74.4569,-34.6526,-110.7158,-48.6156
CLuster-1,60.4289,7.6896,134.3338,27.4206,-64.7752,75.0989,-77.6172,-31.5448,-114.2956,-52.9630
CLuster-1,62.3573,14.8388,134.4575,26.9760,-64.7868,82.7331,-80.4357,-37.8011,-109.5560,-55.1678
CLuster-1,57.9462,11.1500,129.4938,27.1198,-63.3830,76.9474,-73.1677,-28.0523,-112.4957,-49.8327
CLuster-1,61.2765,14.1129,132.8416,26.8341,-62.4768,77.7812,-73.1152,-33.2004,-108.2330,-47.0560
CLuster-1,62.2194,11.8176,126.5121,25.7264,-63.5525,78.5106,-74.2393,-32.6898,-109.5048,-51.3290
CLuster-1,58.7829,8.1936,135.4094,26.1942,-61.1280,79.1061,-71.9713,-32.4392,-113.1169,-49.5492
CLuster-1,57.6868,8.2712,130.3612,27.7663,-59.8187,87.0009,-71.3992,-33.7578,-115.4169,-53.5506
CLuster-1,61.2511,15.5465,130.0316,24.9907,-66.0544,79.5754,-77.8525,-35.9982,-112.8609,-52.8614
CLuster-1,59.3974,11.8291,127.7220,29.4096,-64.9182,82.7666,-77.3799,-30.1579,-110.3249,-53.9769
CLuster-1,59.3826,4.5990,133.3328,29.1619,-61.6081,79.5609,-73.2280,-28.4724,-109.7819,-51.9846
CLuster-1,56.0331,6.5207,134.3560,28.3176,-56.7365,85.0137,-66.9590,-31.4900,-113.7919,-47.7814
CLuster-1,60.9087,5.6785,133.4676,23.6845,-62.9952,76.9143,-73.0542,-33.2630,-112.2876,-53.4016
CLuster-1,58.7766,5.6716,134.4688,30.0245,-65.7245,78.4994,-77.0727,-29.2810,-112.1920,-51.5118
CLuster-1,65.8535,10.2831,134.5324,26.6235,-64.6281,67.3983,-77.3449,-31.6657,-106.3130,-48.1026
CLuster-1,59.4823,14.9398,130.5152,26.8772,-64.8688,83.1558,-78.8703,-34.5482,-112.3691,-56.3998
CLuster-1,61.1116,9.5090,132.2014,27.9523,-64.2400,80.2422,-75.4691,-30.3930,-112.6734,-53.3612
CLuster-1,63.5046,11.9231,131.2062,29.2287,-61.6706,81.3064,-78.8747,-36.2640,-107.8954,-53.8461
CLuster-1,56.5130,11.3586,128.6907,29.1222,-63.4552,85.4420,-75.2061,-32.4690,-113.6299,-51.2144
CLuster-1,63.0453,14.8850,131.5802,26.3417,-67.7169,77.8715,-78.9317,-34.3837,-111.8795,-52.9334
CLuster-1,59.2409,9.9592,126.5614,28.1709,-62.9042,78.3641,-73.1496,-27.9888,-109.4485,-49.7874
CLuster-1,60.3417,14.6995,136.6845,33.9821,-65.8450,78.8969,-87.5690,-37.2898,-105.3274,-49.4874
CLuster-1,61.7048,13.2895,135.0014,26.8796,-63.7258,74.2987,-77.1047,-35.4059,-106.9170,-46.5660
CLuster-1,57.1757,6.7854,129.6569,29.0390,-58.8524,82.3557,-71.4360,-32.2078,-113.5947,-49.2051
CLuster-1,67.5444,16.2294,134.2185,27.4369,-63.1679,81.3599,-80.9210,-38.9654,-107.5345,-55.6770
CLuster-1,59.8764,13.7405,131.3619,27.9741,-58.8973,84.5760,-72.3881,-34.3366,-108.5795,-49.8534
CLuster-1,59.5646,14.4247,130.9076,26.2091,-63.1446,82.4165,-76.7992,-36.6391,-112.4352,-50.6838
CLuster-1,60.7763,17.5597,127.2530,28.5861,-66.1641,78.8838,-78.8462,-30.5313,-107.5149,-50.4966
CLuster-1,62.9524,12.8586,131.8926,28.2089,-65.9825,76.4729,-81.3116,-35.3456,-105.4250,-51.8226
CLuster-1,63.8355,13.1806,130.6161,23.0686,-61.7581,81.4778,-74.4413,-37.4656,-111.5984,-56.2050
CLuster-1,58.7375,7.5149,135.6041,28.1878,-60.9126,82.1142,-74.6219,-35.4250,-113.2170,-51.2472
CLuster-1,65.6852,18.8959,127.2686,23.3097,-63.0424,82.0023,-75.3343,-38.8379,-109.2026,-56.3139
CLuster-1,63.1392,11.1414,135.2771,24.8416,-59.6086,77.6782,-68.4647,-31.9887,-109.4927,-47.7113
CLuster-1,63.4303,14.1524,132.9768,25.4831,-63.4475,84.5997,-78.5075,-38.5753,-109.5575,-57.4306
CLuster-1,60.9617,9.7582,133.4904,25.5136,-66.7359,75.8148,-77.7383,-28.8267,-109.6123,-55.4842
CLuster-1,61.2817,12.9002,133.3522,28.4596,-63.9421,84.0381,-80.6390,-36.9419,-109.1605,-56.1793
CLuster-1,61.8941,8.1633,131.8701,26.3161,-64.2126,76.5789,-78.0292,-34.4767,-109.8576,-53.4908
CLuster-1,61.5112,9.2909,131.0584,24.3539,-62.3433,80.3333,-73.9420,-36.2116,-111.4375,-53.7551
CLuster-1,60.0989,12.4927,131.9729,29.0608,-60.0472,86.8520,-72.1733,-31.4665,-112.9573,-51.8119
CLuster-1,66.8415,9.8190,131.3226,25.4805,-59.6116,78.6369,-75.0201,-39.0242,-106.4562,-53.3993
CLuster-1,66.3875,10.6395,134.6930,25.8706,-56.7108,78.6310,-72.8245,-40.2829,-107.4844,-47.5070
